**********************
Windows PowerShell transcript start
Start time: 20210225160229
Username: NASW\SYSTEM
RunAs User: NASW\SYSTEM
Configuration Name: 
Machine: BLISWAEQT0NBW02 (Microsoft Windows NT 10.0.18363.0)
Host Application: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe .\AccountAuditorGUI.ps1
Process ID: 14712
PSVersion: 5.1.18362.1171
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.18362.1171
BuildVersion: 10.0.18362.1171
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
**********************
Command start time: 20210225160229
**********************
PS>.\AccountAuditorGUI.ps1

name                                                samaccountname
----                                                --------------
SystemMailbox{7800E2B8-6F32-4CDB-82AB-2A202CB73B87} 7800E2B8-6F32-4CDB-8
SystemMailbox{27E4BF22-AC6C-46C7-9F72-F926E0267487} 27E4BF22-AC6C-46C7-9
SystemMailbox{F085B7BE-FE03-49A4-A3DC-2AFC3BCAFADF} F085B7BE-FE03-49A4-A
SystemMailbox{9B6A9018-EE06-4A9F-98FD-66A5FBBEF212} 9B6A9018-EE06-4A9F-9
SystemMailbox{219522B4-D776-4B96-903E-6E5357A88724} 219522B4-D776-4B96-9
SystemMailbox{72A82D6A-AAFA-4DC8-AA01-11228567BC9E} 72A82D6A-AAFA-4DC8-A
SystemMailbox{A6FB574D-F800-4CCD-8D42-5C9E325D8DFB} A6FB574D-F800-4CCD-8
SystemMailbox{D5A8F5C3-05AF-4C03-BA78-A84C047BEC22} D5A8F5C3-05AF-4C03-B
SystemMailbox{46F3C6DD-E2DD-474F-AA04-9D7A772AD0F4} 46F3C6DD-E2DD-474F-A
SystemMailbox{3D5EB5C1-E7D7-44AB-9885-89339DDE86E0} 3D5EB5C1-E7D7-44AB-9
SystemMailbox{DAB12475-4706-40E6-8D74-64DC66DCB4B9} DAB12475-4706-40E6-8
SystemMailbox{E828C9A4-B8ED-49F3-9A16-BA5CF0D6E9AE} E828C9A4-B8ED-49F3-9
SystemMailbox{32227E60-4249-4687-A42B-DA4349388A40} 32227E60-4249-4687-A
SystemMailbox{54FB6BD7-BD91-485A-A4B6-04E5F2A23EBE} 54FB6BD7-BD91-485A-A
SystemMailbox{CD684197-E33B-4479-9B48-A9AD67D4ACE9} CD684197-E33B-4479-9
SystemMailbox{7B19CBEB-7353-4F39-A74B-A1DFFC4D8A65} 7B19CBEB-7353-4F39-A
SystemMailbox{68B9D681-3FAD-4DA0-B37D-6AD65BA39EE2} 68B9D681-3FAD-4DA0-B
SystemMailbox{3C8EC2E2-7778-47B8-9F78-4FC7C68279EE} 3C8EC2E2-7778-47B8-9
SystemMailbox{C475E0DC-F73F-4511-A8DF-5EF5518FB8E1} C475E0DC-F73F-4511-A
SystemMailbox{289D4228-88F6-4672-A827-116E5C8ED325} 289D4228-88F6-4672-A
